id,course_name,school_name,school_id,faculty_name,faculty_id,enroll_count,start_time,end_time,deleted
1206624828,发展心理学,北京大学,13001,苏彦捷,1398291533,2438.0,1708567200000,1718983800000,False
1206455823,走进护理,北京大学,13001,王艳,1150847484,397.0,1708567200000,1718551800000,False
1206463807,神经系统疾病病人的护理,北京大学,13001,江华,1868049,220.0,1708567200000,1715614200000,False
1206448835,常见消化系统疾病病人的围手术期护理,北京大学,13001,庞冬,1397313350,64.0,1709517600000,1715614200000,False
1206423806,英语演讲与演示,北京大学,13001,张宏岩,1396977967,2556.0,1694397600000,1702395000000,False
1206349803,医用发育生物学,北京大学,13001,葛子钢,1396274160,1449.0,1646100000000,1654011000000,False
1206307812,数据结构与算法Python版,北京大学,13001,陈斌,6537518,927.0,1708308000000,1719156600000,False
1206301807,刘伟教你打乒乓,北京大学,13001,刘伟,1395600355,4430.0,1662602400000,1676907000000,False
1206297809,地球与人类文明,北京大学,13001,陈斌,6537518,314.0,1708567200000,1715527800000,False
1206307811,传染病病人的护理,北京大学,13001,孙玉梅,1035961164,201.0,1708567200000,1715009400000,False
1205962805,宏观经济学,北京大学,13001,唐遥,1388385366,19024.0,1695607200000,1701099000000,False
1206015802,魅力机器人,北京大学,13001,谢广明,1389214052,17318.0,1631584800000,1640964600000,False
1003470010,数学物理方法（六）——线性微分方程的其他解法,北京大学,13001,吴崇试,1494747,100.0,1708567200000,1719761400000,False
1003468013,数学物理方法（五）——分离变量法（正交曲面坐标系）,北京大学,13001,吴崇试,1494747,94.0,1708567200000,1719761400000,False
1003476010,数学物理方法（四）——分离变量法,北京大学,13001,吴崇试,1494747,116.0,1708567200000,1719761400000,False
1003469011,数学物理方法（二）——无穷级数,北京大学,13001,吴崇试,1494747,121.0,1708567200000,1718379000000,False
1003469012,数学物理方法（一）——复变函数的微积分,北京大学,13001,吴崇试,1494747,310.0,1708567200000,1718379000000,False
1205937803,生理学（下）,北京大学,13001,罗冬根,1387945105,152.0,1708999200000,1719761400000,False
1205915814,生理学（上）,北京大学,13001,王世强,1387804992,305.0,1708999200000,1719761400000,False
1205906817,热学,北京大学,13001,欧阳颀,1387804987,514.0,1708308000000,1717774200000,False
1205902801,生理学实验,北京大学,13001,周辰,1387507917,106.0,1708999200000,1719761400000,False
1205827823,静园学术讲座,北京大学,13001,宋亚云,1386602362,18530.0,1584324000000,1593531000000,False
1205824813,运动健身原理与方法,北京大学,13001,赫忠慧,1386417793,738.0,1708653600000,1718983800000,False
1205806811,多元微积分导引,北京大学,13001,王冠香,1035943239,824.0,1663293600000,1672500600000,False
1205809805,计算机组成,北京大学,13001,陆俊林,1385437091,22914.0,1581904800000,1589729400000,False
1205726807,古代汉语,北京大学,13001,邵永海,1384563209,4287.0,1665360000000,1674660600000,False
1205727813,语言学概论,北京大学,13001,陈保亚,1496802,339.0,1710640800000,1721143800000,False
1205730810,《孟子》精读,北京大学,13001,吴国武,1384561391,10346.0,1635127200000,1643643000000,False
1205722813,中国当代文学,北京大学,13001,陈晓明,1384559583,12300.0,1648778400000,1664465400000,False
1205721816,神话与神话研究,北京大学,13001,王娟,1384560472,6530.0,1634004000000,1641310200000,False
1205697803,结构化学（一）,北京大学,13001,朱月香,1035884189,423.0,1708567200000,1719243000000,False
1003361041,网络与市场中的计算思维,北京大学,13001,李晓明,8037185,1287.0,1662602400000,1704036600000,False
1003769005,中国近现代史纲要,北京大学,13001,王久高,1151637867,12951.0,1646013600000,1650468600000,False
1003760006,思想道德修养与法律基础,北京大学,13001,宇文利,1151642097,8243.0,1632708000000,1640619000000,False
1003758007,毛泽东思想和中国特色社会主义理论体系概论,北京大学,13001,孙蚌珠,1151643076,17918.0,1632708000000,1643556600000,False
1003761005,马克思主义基本原理概论,北京大学,13001,孙熙国,1151608129,17455.0,1632708000000,1643643000000,False
1003651001,悖论：思维的魔方,北京大学,13001,陈波,1150635856,4781.0,1645495200000,1655220600000,False
1003512002,电磁学,北京大学,13001,王稼军,1149397375,527.0,1708308000000,1717774200000,False
21005,流行病学基础（一）,北京大学,13001,吴涛,1565009,459.0,1708567200000,1719761400000,False
1001956010,流行病学基础（二）,北京大学,13001,吴涛,1565009,229.0,1708567200000,1719761400000,False
1003471009,人工智能与信息社会,北京大学,13001,陈斌,6537518,1698.0,1708308000000,1715527800000,False
1003479006,Python语言基础与应用,北京大学,13001,陈斌,6537518,3024.0,1708300800000,1715527800000,False
1003368010,遗传学实验,北京大学,13001,张文霞,1035972895,161.0,1708912800000,1719243000000,False
1003177002,软件工程,北京大学,13001,孙艳春,1145091001,1855.0,1708567200000,1718292600000,False
1003090003,微观经济学之供给与需求,北京大学,13001,王辉,1144544693,2449.0,1695002400000,1700839800000,False
1001553023,程序设计与算法（一）C语言程序设计,北京大学,13001,郭炜,1015101381,719.0,1709258400000,1722180600000,False
1002527005,学习工程与管理,北京大学,13001,吴峰,1035961652,37619.0,1527213600000,1532952000000,False
1002698020,解密教育的技术变革史,北京大学,13001,郭文革,1139273659,6364.0,1551060000000,1556638200000,False
1002701018,会计学基础,北京大学,13001,罗炜,1139213087,16537.0,1694743200000,1699630200000,False
1002618003,行为经济学,北京大学,13001,孟涓涓,1137827468,43517.0,1581904800000,1586100600000,False
1002580006,生物演化,北京大学,13001,顾红雅,1135335629,18254.0,1568599200000,1578929400000,False
1002578003,政治学概论,北京大学,13001,李强,1135284602,58626.0,1581904800000,1592580600000,False
1002535003,质性研究方法,北京大学,13001,林小英,1036048075,7660.0,1694397600000,1703086200000,False
1002525004,离散数学概论,北京大学,13001,陈斌,6537518,2552.0,1694397600000,1704036600000,False
1002525003,算法设计与分析,北京大学,13001,汪小林,1036020502,12878.0,1619488800000,1626622200000,False
1002536002,人工智能实践：Tensorflow笔记,北京大学,13001,曹健,1036043580,30135.0,1602295200000,1611156600000,False
1002534002,健康评估,北京大学,13001,孙玉梅,1035961164,2004.0,1708567200000,1715009400000,False
1002533002,生物学概念与途径,北京大学,13001,饶毅,1135181082,457.0,1708567200000,1719761400000,False
1002529002,计算概论与程序设计基础,北京大学,13001,李戈,1035944958,17559.0,1583719200000,1593099000000,False
1002531002,社会调查与研究方法,北京大学,13001,邱泽奇,1035940443,16305.0,1649383200000,1657899000000,False
1002530002,微积分基础,北京大学,13001,王冠香,1035943239,8449.0,1663293600000,1672500600000,False
1002534001,数据结构与算法,北京大学,13001,张铭,1035945158,13827.0,1693533600000,1705246200000,False
1002533001,浪漫主义时代的欧洲音乐,北京大学,13001,刘小龙,1035942197,52136.0,1522634400000,1528891200000,False
1002518004,大学生瑜伽,北京大学,13001,亓昕,1035885418,850.0,1708653600000,1717947000000,False
1002521004,结构化学（二）,北京大学,13001,朱月香,1035884189,232.0,1708567200000,1719243000000,False
1002188003,人工智能原理,北京大学,13001,王文敏,1029308952,7387.0,1693792800000,1703431800000,False
1001894005,程序设计与算法（二）算法基础,北京大学,13001,郭炜,1015101381,654.0,1709258400000,1722180600000,False
1002029030,程序设计与算法（三）C++面向对象程序设计,北京大学,13001,郭炜,1015101381,521.0,1709258400000,1722180600000,False
1001967013,翻转课堂教学法1.5,北京大学,13001,汪琼,1566063,7211.0,1491184800000,1495468800000,False
1001941004,Java程序设计,北京大学,13001,唐大仕,2493955,3380.0,1708308000000,1719761400000,False
1001663016,c#程序设计,北京大学,13001,唐大仕,2493955,1034.0,1708308000000,1719761400000,False
318002,慕课问道,北京大学,13001,李晓明,8037185,13985.0,1567908000000,1571587200000,False
269001,教师如何做研究,北京大学,13001,汪琼,1566063,3197.0,1699236000000,1702999800000,False
72001,教你如何做MOOC,北京大学,13001,冯菲,1735249,799.0,1694397600000,1699371000000,False
21016,翻转课堂教学法,北京大学,13001,汪琼,1566063,2979.0,1699236000000,1703604600000,False
1470842182,大学德语II,南京大学,9002,李彬,1409273987,31.0,1709512200000,1720540800000,False
1470429181,地下水动力学,南京大学,9002,吴吉春,1544002661,76.0,1708308000000,1720452600000,False
1470438162,专业学位硕士学位论文写作规范与方法,南京大学,9002,张亮,1015734455,3400.0,1703039400000,1708963200000,False
1469355161,智能感知技术,南京大学,9002,谢磊,1487774733,46.0,1709253000000,1719763200000,False
1469213163,生物学导论,南京大学,9002,卢山,1551497955,401.0,1698390000000,1706544000000,False
1468673161,C程序设计训练,南京大学,9002,刘奇志,1386898849,590.0,1701741600000,1709136000000,False
1468594162,The Organization of Information（信息组织）,南京大学,9002,颜嘉麒,1408303598,53.0,1709253000000,1718812800000,False
1468490162,英语测试高分策略,南京大学,9002,裴黎萍,1399423571,22.0,1709600400000,1719676800000,False
1468503164,环境微生物学,南京大学,9002,肖琳,1385724481,514.0,1693528200000,1703952000000,False
1468492164,地下水动力学,南京大学,9002,吴吉春,1544002661,510.0,1696642200000,1703952000000,False
1468488162,从天下到世界:近代中国的历程,南京大学,9002,李恭忠,1544007400,21.0,1709080200000,1721230200000,False
1466990164,人机交互与用户体验设计,南京大学,9002,冯桂焕,1017251499,1316.0,1693526400000,1704693600000,False
1466404161,Experiments in Biochemistry（生物化学实验）,南京大学,9002,张冬梅,1149760748,179.0,1696208400000,1705766400000,False
1466098254,大学德语I,南京大学,9002,钦文,1470364080,49.0,1709512200000,1720108800000,False
